Date,Time,Exercise,# of Reps,Weight,Notes
"2/23/20","08:37","Standing Crunch","10","0",""
"2/23/20","08:37","Laying Elbow-back Lifts","10","0",""
"2/23/20","08:37","Laying Elbow-back Lifts","10","0"
"2/23/20","08:37","Laying Elbow-back Lifts","10","0"
"2/23/20","08:37","Laying Leg Lift And Hold","10","0",""
"2/23/20","08:37","Laying Leg Lift And Hold","10","0"
"2/23/20","08:37","Laying Leg Lift And Hold","10","0"
"2/23/20","08:37","Laying Heel Touches","10","0",""
"2/23/20","08:37","Laying Heel Touches","10","0"
"2/23/20","08:37","Laying Heel Touches","10","0"
"2/23/20","08:37","Plank","10","0",""
"2/23/20","08:37","Plank","10","0"
"2/23/20","08:37","Plank","10","0"
"2/23/20","08:37","Superman","10","0",""
"2/23/20","08:37","Superman","10","0"
"2/23/20","08:37","Superman","10","0"
"2/23/20","08:37","Cobra","10","0",""
"2/23/20","08:37","Cobra","10","0"
"2/23/20","08:37","Cobra","10","0"
"2/23/20","08:37","Standing Side Bend","10","0",""
"2/23/20","08:37","Standing Crunch","10","0",""
"2/22/20","08:02","Wide-Grip Lat Pulldowns","10","180",""
"2/22/20","08:02","Wide-Grip Lat Pulldowns","10","180"
"2/22/20","08:02","Wide-Grip Lat Pulldowns","10","180"
"2/22/20","08:02","Wide-Grip Lat Pulldowns","8","180"
"2/22/20","08:02","Cable Flyes","10","80",""
"2/22/20","08:02","Cable Flyes","10","80"
"2/22/20","08:02","Cable Flyes","10","80"
"2/22/20","07:48","Standing Heel Raises","30","80",""
"2/22/20","07:48","Shoulder Shrug","10","80",""
"2/22/20","07:47","Russian Twist","10","15",""
"2/22/20","07:47","Bent-over Flyes","10","40",""
"2/22/20","07:46","Renegade Row","20","15",""
"2/22/20","07:46","Tricep Throwback","20","15",""
"2/22/20","07:43","Kneeling Wood Throws","20","15",""
"2/22/20","07:42","Biceps Curl","5","40",""
"2/22/20","07:42","Shoulder Press","5","40",""
"2/22/20","07:42","Bench Press","12","50",""
"2/22/20","07:41","Hammer Curls","10","40",""
"2/22/20","07:40","Overhead Triceps Extensions","12","35",""
"2/22/20","07:37","Shoulder Shrug","15","80",""
"2/22/20","07:37","Lateral Raise","10","30",""
"2/22/20","07:36","Standing Heel Raises","20","80",""
"2/22/20","07:35","Renegade Row","20","15",""
"2/22/20","07:35","Tricep Throwback","20","15",""
"2/22/20","07:35","Russian Twist","10","15",""
"2/22/20","07:35","Bent-over Flyes","10","40",""
"2/22/20","07:32","Kneeling Wood Throws","20","15",""
"2/22/20","07:31","Bench Press","12","50",""
"2/22/20","07:30","Biceps Curl","5","40",""
"2/22/20","07:30","Shoulder Press","5","40",""
"2/22/20","07:29","Overhead Triceps Extensions","12","35",""
"2/22/20","07:29","Hammer Curls","10","40",""
"2/22/20","07:23","Lateral Raise","10","30",""
"2/22/20","07:20","Shoulder Shrug","10","60",""
"2/22/20","07:19","Bent-over Flyes","10","40",""
"2/22/20","07:19","Standing Heel Raises","30","60",""
"2/22/20","07:18","Tricep Throwback","20","15",""
"2/22/20","07:18","Russian Twist","10","15",""
"2/22/20","07:15","Kneeling Wood Throws","30","15",""
"2/22/20","07:15","Renegade Row","20","15",""
"2/22/20","07:12","Biceps Curl","10","40",""
"2/22/20","07:12","Shoulder Press","4","40",""
"2/22/20","07:12","Bench Press","12","50",""
"2/22/20","07:11","Hammer Curls","10","40",""
"2/22/20","07:10","Overhead Triceps Extensions","10","35",""
"2/22/20","07:09","Lateral Raise","10","30",""
"2/21/20","06:04","Cable Flyes","8","80",""
"2/21/20","06:04","Cable Flyes","8","80"
"2/21/20","06:04","Cable Flyes","8","80"
"2/21/20","05:57","High Plank Pull-Through","20","35",""
"2/21/20","05:57","High Plank Pull-Through","20","35"
"2/21/20","05:57","High Plank Pull-Through","20","35"
"2/21/20","05:53","Wide-Grip Lat Pulldowns","10","160",""
"2/21/20","05:53","Wide-Grip Lat Pulldowns","10","160"
"2/21/20","05:53","Wide-Grip Lat Pulldowns","10","160"
"2/21/20","05:47","sitting ab crunch machine","10","240",""
"2/21/20","05:47","sitting ab crunch machine","15","240"
"2/21/20","05:47","sitting ab crunch machine","15","240"
"2/21/20","05:40","Seated Calf Raise","10","60",""
"2/21/20","05:40","Seated Calf Raise","15","60"
